Table
RDS KEY ,LICENSE NAME ,STREETI ,CITY ,ST ,MISC FA MFG
61603367 ,CPP-STEEL TREATERS INC ,100 FURNACE ST ,0RISKANY ,NY ,44645
61603100 ,FERMER PRECISION INC ,114 JOHNSON RD ,ILION ,NY ,1569
61602475 ,REMINGTON ARMS COMPANY LLC ,14 HOEFLER AVE ,ILION ,NY ,3325
43404636 ,AMERICAN MUSKET'S LLC ,7250 COMMERCE DRIVE UNIT K ,MENTOR ,0H ,6
43404791 ,ARTEMIS ARMS LLC ,50 JACKSON ST ,PORT CLINTON ,0H ,12
43404632 ,BULA FORGE & MACHINE INC ,3001 W 121ST ST ,CLEVELAND ,0H ,126
43404640 ,DARK TOWER LLC ,5940 CEDAR POINT RD ,0REGON ,0H ,17
43103670 ,GUN ENVY LLC ,4110 INDIANOLA AVE ,COLUMBUS ,0H ,19
43103909 ,KAYJAY ENTERPRISES LLC ,3023 LINDALE MT HOLLY RD ,AMELIA ,0H ,15
43401968 ,"KMP CLASSIC ARMS, INC ",556 CALDWELL AVE ,MANSFIELD ,0H ,63
43103555 ,PHOENIX TRINITY MANUFACTURING INC ,1883 SOUTHTOWN BLVD STE 102 ,DAYTON ,0H ,852
43404591 ,TWISTED RIVER TACTICAL LLC ,4564 ROHRDALE AVE NW ,CANAL FULTON ,0H ,92
57303414 ,FLEMING FIREARMS INC ,7718 E 126TH ST N ,COLLINSVILLE ,0K ,2
57304721 ,HAILEY ORDNANCE COMPANY ,1661 EXCHANGE AVE ,0KLAHOMA CITY ,0K ,108
57301293 ,SURGEON RIFLES LLC ,48955 MOCCASIN TRAIL RD ,PRAGUE ,0K ,672
57305225 ,TAPE MATICS INC ,1539 INDUSTRIAL LN ,TISHOMINGO ,0K ,27
99300780 ,ADVANCED LONGRANGE SYSTEMS LLC ,3554 EAST ANTELOPE RD ,EAGLE POINT ,0R ,45
99303685 ,"COLFAX TACTICAL, LLC ",1611 SW FIRST ST UNIT A ,REDMOND ,0R ,78
99304259 ,CRUSADER OPERATOR CORPORATION ,10500 SW REDCLOUD RD ,POWELL BUTTE ,0R ,41
99303200 ,DOUBLE TAP LLC ,2075 NE HWY 20 ,BEND ,0R ,6
99301728 ,HALO MANUFACTURING LLC ,3970 HAMPSHIRE LANE ,EUGENE ,0R ,46
99303496 ,HH ARMAMENT LLC ,2887 INDUSTRIAL WAY UNIT D ,HUBBARD ,0R ,96
99303636 ,"JONES, NATHAN WILLIAM & ASHLEY SAZANNE ",75398 FERN HILL RD ,RAINIER ,0R ,27
99303399 ,RESEARCH DEVELOPMENT LABORATORIES LLC ,527 S CALAPOOIA ST UNIT 3A ,SUTHERLIN ,0R ,7
99303260 ,"RHEINSCHMIDT MFG, LLC ",5590 SW 195TH AVE ,BEAVERTON ,0R ,13
99304128 ,SMOS ARMS INC ,484 PLEASANT VALLEY RD ,MERLIN ,0R ,54
99304557 ,THUNDER TECHNOLOGIES LLC ,144 SE 109TH AVE ,PORTLAND ,0R ,108
99337182 ,TNW FIREARMS INC ,55325 TIMBER RD ,VERNONIA ,0R ,328
99304429 ,TODD ENTERPRISES LLC ,4300 LIBERTY RD ,DALLAS ,0R ,1
99304129 ,VIPER NORTHWEST INC ,1216 JACKSON ST SE ,ALBANY ,0R ,50
99303509 ,VIPER TACTICAL ARMS LLC ,37367 REDWOOD HWY ,0' BRIEN ,0R ,2
99302088 ,"YEAMANS, MATTHEW B ",480 ROGUE RIVER PKWY ,TALENT ,0R ,44
82308185 ,ALG DEFENSE INC ,800 EAST WALNUT ST ,NORTH WALES ,PA ,24
82300401 ,ARMAMENT SERVICES INTERNATIONAL INC (ASI) ,103 CAMARS DR ,WARMINSTER ,PA ,39
82303723 ,BLAK FORGE ARMOURY LLC ,1803 RT 287 ,MORRIS ,PA ,6


