Table
PISTOLS ,"34,663 ",
REVOLVERS ,"48,616 ",
RIFLES ,"65,669 ",
SHOTGUNS ,"67,342 ",
MACHINE GUNS ,"22,255 ",
ALL OTHERNFA WEAPONS ,"2,955 ",
MISC. FIREARMS ,"4,028 ",


