Table
KEY ,LICENSE NAME ,STREET ,CITY ,ST ,PISTOL 22 ,PISTOL 25 ,PISTOL 32 ,PISTOL 380 ,PISTOL 9MM ,PISTOL 50 ,PISTOL TOTAL 
,LONE WOLF R&D LLC ,106 SHANNON LN STE B ,PRIEST RIVER ,ID ,O ,0 ,O ,O ,47 ,0 ,47 
,MILTAC INDUSTRIES LLC ,"719 N PRINCIPLE PLACE, SUITE 130 ",MERIDIAN ,ID ,6 ,0 ,2 ,O ,0 ,0 ,8 
,MILTAC INDUSTRIES LLC ,719 N PRINCIPLE PLACE ,MERIDIAN ,ID ,O ,O ,2 ,O ,O ,O ,2 
,NEMO ARMS INC ,2820 BRANDT AVE ,NAMPA ,ID ,0 ,0 ,18 ,0 ,0 ,0 ,18 
,PRIMARY WEAPONS SYSTEMS INC ,255 N. STEELHEAD WAY ,BOISE ,ID ,193 ,0 ,5 ,O ,O ,O ,198 
,QUALITY ARMS IDAHO LLC ,350 N 3RD W ,RIGBY ,ID ,O ,1 ,O ,O ,0 ,0 ,1 
,TACTICAL SOLUTIONS INC ,2772 S VICTORY VIEW WAY ,BOISE ,ID ,823 ,O ,O ,O ,O ,O ,823 
,AR1510 LLC ,745 S HANFORD ,GENESEO ,IL ,38 ,O ,3 ,O ,O ,O ,41 
,"BALDWIN GUN WORKS, LLC ",17951 CAPLINGER POND RD ,MARION ,IL ,7 ,O ,O ,O ,O ,O ,7 
,BARBER KUSTOM LLC ,922 WEMBLEY DR ,ISLAND LAKE ,IL ,1 ,O ,O ,O ,0 ,7 ,8 
,CONDITION YELLOW ACADEMY INC ,2908 W IL ROUTE 120 ,MC HENRY ,IL ,5 ,O ,O ,0 ,1 ,0 ,6 
,DS ARMS INC ,27W990 INDUSTRIAL AVE ,LAKE BARRINGTON ,IL ,O ,O ,O ,0 ,O ,56 ,56 
,HI TECH PLASTICS INC ,2074 78 FOSTER AVE ,WHEELING ,IL ,7250 ,O ,O ,O ,0 ,O ,7250 
,KNOXVILLE ARMS LLC ,4712 55TH AVE ,MOLINE ,IL ,0 ,0 ,0 ,O ,0 ,3 ,3 
,MMI INC ,205 WEST MONDAMIN STREET UNIT B ,MINOOKA ,IL ,2 ,0 ,O ,O ,0 ,0 ,2 
,OGLESBY & OGLESBY GUNMAKERS INC ,744 W ANDREW RD ,SPRINGFIELD ,IL ,O ,0 ,O ,O ,1 ,2 ,3 
,PRECISION GRINDING & MACHINE INC ,16664 CHERRY CREEK CT ,JOLIET ,IL ,O ,53 ,0 ,O ,O ,0 ,53 
,"RIZZO, ANTHONY CARL ",15796 STONEWALL DRIVE ,MILLBROOK ,IL ,O ,O ,O ,0 ,3 ,0 ,3 
,ROCK ISLAND AUCTION COMPANY ,7819 42ND ST W ,ROCK ISLAND ,IL ,0 ,0 ,0 ,0 ,O ,1 ,1 
,ROCK RIVER ARMS INC ,1042 CLEVELAND RD ,COLONA ,IL ,O ,472 ,O ,O ,19 ,26 ,517 
,RSS DEFENSE CORP ,441 W BONNER RD UNIT 1-G ,WAUCONDA ,IL ,2 ,0 ,0 ,O ,0 ,0 ,2 
,SPORTSWEREUS INC ,855 COMMERCE PARKWAY ,CARPENTERSVI LLE ,IL ,O ,O ,O ,0 ,O ,1 ,1 
,SPRINGFIELD INC ,420 W MAIN ST ,GENESEO ,IL ,O ,O ,O ,O ,21935 ,50078 ,72013 
,CABOT GUN COMPANY LLC ,3610 FOCUS DR ,FORT WAYNE ,IN ,O ,O ,O ,O ,4 ,349 ,353 
,CF GUNWORKS LLC ,1157 S COUNTY RD 1000 E ,FRANKFORT ,IN ,O ,O ,O ,O ,1 ,0 ,1 
,CGF ENTERPRISES LLC ,5438 N COUNTY ROAD 75 W ,LOGANSPORT ,IN ,O ,O ,O ,0 ,0 ,4 ,4 
,DEPUTY BIG SHOT LLC ,10214 W DEPUTY PIKE RD ,DEPUTY ,IN ,1 ,O ,O ,O ,O ,O ,1 
,HIS & HERS TARGET SPORTS ,408 SOUTH MAIN ST ,SHERIDAN ,IN ,2 ,O ,O ,O ,2 ,O ,4 


