RDS KEY ,LICENSE NAME ,STREET ,CITY ,ST ,SHOTGUN MFG
43402663 ,,64390 COOKS RUN RD ,CAMBRIDGE ,0H ,2
43402108 ,ITHACA GUN COMPANY ,420 N WARPOLE ST ,UPPER SANDUSKY ,0H ,1201
43437827 ,,10007 FRANCHESTER RD ,BURBANK ,0H ,3
57303316 ,,1212 OKLAHOMA PL ,CLAREMORE ,0K ,3
57302390 ,CUTTING EDGE ARMS LLC ,6840 NW 11TH STREET ,0KLAHOMA CITY ,0K ,1
99302545 ,KOONCE CUSTOM GUNWORKS LLC ,5711 AETNA ST SE ,SALEM ,0R ,1
99302709 ,R & R RACING INC ,45823 OAK ST ,LYONS ,0R ,58
99302138 ,RCW ARMS LLC ,118 WEST B STREET ,RAINIER ,0R ,1
82302834 ,KEYSTONE SPORTING ARMS LLC ,155 SODOM RD ,MILTON ,PA ,135
82302810 ,M & B CUSTOM FIREARMS INC ,58 VILLAGE RD ,ETTERS ,PA ,1
82333855 ,TAR HUNT CUSTOM RIFLES INC ,101 DOGTOWN RD ,BLOOMSBURG ,PA ,29
82501855 ,,205 OAK AVE ,SEMINOLE ,PA ,3
34600815 ,DEEP CREEK OUTFITTERS LLC ,19258 213TH ST ,CREIGHTON ,SD ,1
34600181 ,NIP MANUFACTURING INC ,3541 MAYER AVENUE ,STURGIS ,SD ,2
16204201 ,MACH I ARSENAL LLC ,2404 EAST BROADWAY AVENUE SUITE B ,MARYVILLE ,TN ,22
16204260 ,,2614 HWY 61 W ,ANDERSONVILLE ,TN ,5
57504682 ,ATWELL FINISHES LLC ,1207 MELROSE DR ,RICHARDSON ,TX ,2
57434208 ,,INDUSTRIAL BLVD MAVERICK CO DEVLPT PARK ,EAGLE PASS ,TX ,393284
57404045 ,,7696 N HWY 281 ,LAMPASAS ,TX ,3
57602035 ,,1919 MAPLETON ST ,HOUSTON ,TX ,3
57503567 ,,7749 COUNTY ROAD 409 ,GRANDVIEW ,TX ,1
57501654 ,,21852 FM 449 SUITE A ,LONGVIEW ,TX ,2
57602623 ,SET TAC PROVIDERS INC ,21515 HUFSMITH - KOHRVILLE ,TOMBALL ,TX ,1
57601795 ,,7412 JOHN RALSTON RD ,HOUSTON ,TX ,2
98701126 ,PRO X INC ,3036 WILLOW CREEK DRIVE ,SANDY ,UT ,1
15406327 ,DISCRETIONARY FIREARMS & SECURITY SOLUTIONS ,724 GREEN TREE RD ,CHESAPEAKE ,VA ,1
15406017 ,,599 BUCKS MILL RD ,STRASBURG ,VA ,1
15407848 ,,645 MARGARET DR ,CHESAPEAKE ,VA ,1
15405679 ,UNIQUE ARMAMENT CREATIONS LLC ,35198 GENERAL MAHONE BLVD ,IVOR ,VA ,2
99102158 ,LJUTIC LLC ,2402 WEST J ST SUITE A ,YAKIMA ,WA ,41
99102474 ,RATTLESNAKE ORDNANCE COMPANY LLC ,42105 E RIDGECREST DR NE ,BENTON CITY ,WA ,1
33933175 ,US COMPETITION ARMS INC ,1925 ROOSEVELT AVE ,RACINE ,WI ,199
45501546 ,EFI LLC ,113 HAWICK RD ,INWOOD ,WV ,2


