RDS KEY,LICENSE NAME,STREET,CITY,ST,SHOTGUN EXP
15422338,HECKLER & KOCH INC,21480 PACIFIC BLVD,STERLING,VA,1
15900053,FALCON TRADE & TRANSPORATION INC,1019 HOLBROOK CT #B-3,PORT SAINT LUCIE,FL,2
57134716,WILSONS GUN SHOP INC,2234 CR 719,BERRYVILLE,AR,7
82533495,PENN ARMS INC,107 PINE ST,PUNXSUTAWNEY,PA,10
34633475,H S PRECISION INC,1301 TURBINE DR,RAPID CITY,SD,23
60433152,"SAVAGE ARMS, INC",100 SPRINGDALE RD,WESTFIELD,MA,85
60600760,THE MARLIN FIREARMS CO,100 KENNA DR,NORTH HAVEN,CT,180
33635798,SPRINGFIELD INC,420 W MAIN ST,GENESEO,IL,230
60201484,STURM RUGER & CO INC,411 SUNAPEE ST,NEWPORT,NH,246
85207699,BERETTA U S A CORPORATION,17601 BERETTA DR,ACCOKEEK,MD,854
60636056,US REPEATING ARMS COMPANY,275 WINCHESTER AVE,NEW HAVEN,CT,1829
60434429,H & R 1871 INC NEW ENGLAND FIREARMS CO,60 INDUSTRIAL ROWE,GARDNER,MA,7152
57434208,"MAVERICK ARMS, INC",INDUSTRIAL BLVD MAVERICK CO DEVLPT PARK,EAGLE PASS,TX,7190
60600773,O F MOSSBERG & SONS INC,7 GRASSO AVE,NORTH HAVEN,CT,8331
61635527,"REMINGTON ARMS CO, INC",14 HOEFLER AVE,ILION,NY,8947
