RDS KEY,LICENSE NAME,STREET,CITY,ST,MISC FA EXP
98602171,MILKOR USA INC,3735 N ROMERO RD SUITE 2M,TUCSON,AZ,5
93301038,"SUREFIRE, LLC",18300 MT BALDY CIRCLE,FOUNTAIN VALLEY,CA,685
97702726,NORMAN HANSON FIREARMS LLC,20810 SOUTH ST UNIT 5,TEHACHAPI,CA,185
15840168,MEGGITT TRAINING SYSTEMS INC,296 BROGDON RD,SUWANEE,GA,10
15806236,ADVANCED ARMAMENT CORP LLC,2408 TECH CENTER PARKWAY BUILDING H SUITE 150,LAWRENCEVILLE,GA,319
43800250,PIERCE ENGINEERING LTD,5122 N GRAND RIVER,LANSING,MI,29
98101187,DEFIANCE MACHINE INC,3881 MT HWY 40 W,COLUMBIA FALLS,MT,150
15604383,BAITY'S CUSTOM GUNWORKS,2623 BOONE TRAIL,NORTH WILKESBORO,NC,10
43437065,KELBLY'S RIFLE RANGE INC,7222 DALTON FOX LAKE RD,NORTH LAWRENCE,OH,23
43401651,OHIO ORDNANCE WORKS INC,305 AND 310 PARK DR,CHARDON,OH,286
99337182,TNW FIREARMS INC,55325 TIMBER RD,VERNONIA,OR,13
82338992,"BORDEN, JAMES F",1325 SHELDON HILL ROAD,SPRINGVILLE,PA,31
57501894,"EBERT, FLASH",4219 W CO RD N,ODESSA,TX,1
57434208,"MAVERICK ARMS, INC",INDUSTRIAL BLVD MAVERICK CO DEVLPT PARK,EAGLE PASS,TX,16751
