RDS KEY,LICENSE NAME,STREET,CITY,ST,SHOTGUN EXP
15947645,BRAZTECH INTERNATIONAL LC,16175 NW 49TH AVE,MIAMI,FL,1868
15840168,MEGGITT TRAINING SYSTEMS INC,296 BROGDON RD,SUWANEE,GA,26
60433152,"SAVAGE ARMS, INC",100 SPRINGDALE RD,WESTFIELD,MA,43
60401684,SMITH & WESSON CORP,2100 ROOSEVELT AVE,SPRINGFIELD,MA,7
34100034,"KOSCIELSKI, MARK PETER",2926 CHICAGO AVE S,MINNEAPOLIS,MN,3
60200735,"STURM, RUGER & COMPANY, INC",529 SUNAPEE ST,NEWPORT,NH,42
98800913,LEGACY SPORTS INTERNATIONAL LLC,4750 LONGLEY LN STE 207-208,RENO,NV,14
61600727,REMINGTON ARMS CO INC,14 HOEFLER AVE,ILION,NY,321
43402108,ITHACA GUN COMPANY,420 N WARPOLE ST,UPPER SANDUSKY,OH,45
57434208,"MAVERICK ARMS, INC",INDUSTRIAL BLVD MAVERICK CO DEVLPT PARK,EAGLE PASS,TX,34082
99103260,HURRICANE BUTTERFLY RESEARCH CORPORATION,1148 INDUSTRY DRIVE,TUKWILA,WA,2
99102158,LJUTIC LLC,2402 WEST J ST SUITE A,YAKIMA,WA,2
