RDS KEY,LICENSE NAME,STREET,CITY,ST,SHOTGUN EXP
34633475,H S PRECISION INC,1301 TURBINE DR,RAPID CITY,SD,1
57134716,WILSONS GUN SHOP INC,2234 CR 719,BERRYVILLE,AR,4
97738092,ROGUE RIV RIFLEWORKS INC/JOHN RIBGY & CO,500 LINNE RD STE D,PASO ROBLES,CA,4
82200281,GRIFFIN & HOWE INC,33 CLAREMONT RD,BERNARDSVILLE,NJ,5
98636542,"ROBAR COMPANIES, INC",21438 N 7TH AVE SUITE B,PHOENIX,AZ,13
60200153,SIG ARMS INC,18 INDUSTRIAL DR,EXETER,NH,41
60201484,"STURM, RUGER & CO INC",411 SUNAPEE ST,NEWPORT,NH,47
60433152,"SAVAGE ARMS, INC",100 SPRINGDALE RD,WESTFIELD,MA,117
60600252,"MARLIN FIREARMS COMPANY, THE",100 KENNA DR,NORTH HAVEN,CT,134
33635798,SPRINGFIELD INC,420 W MAIN ST,GENESEO,IL,427
60636056,US REPEATING ARMS COMPANY,344 WINCHESTER AVE,NEW HAVEN,CT,940
60400253,"H & R 1871, LLC",60 INDUSTRIAL ROWE,GARDNER,MA,1330
57434208,"MAVERICK ARMS, INC",INDUSTRIAL BLVD MAVERICK CO DEVLPT PARK,EAGLE PASS,TX,6603
60600773,O F MOSSBERG & SONS INC,7 GRASSO AVE,NORTH HAVEN,CT,7602
61635527,"REMINGTON ARMS CO, INC",14 HOEFLER AVE,ILION,NY,12269
