RDS KEY,LICENSE NAME,STREET,CITY,ST,SHOTGUN EXP
57134716,WILSONS GUN SHOP INC,2234 CR 719,BERRYVILLE,AR,29
97737552,WEATHERBY INC,1605 COMMERCE WAY,PASO ROBLES,CA,178
60600252,"MARLIN FIREARMS COMPANY, THE",100 KENNA DR,NORTH HAVEN,CT,166
60636056,US REPEATING ARMS COMPANY,344 WINCHESTER AVE,NEW HAVEN,CT,2058
60600773,O F MOSSBERG & SONS INC,7 GRASSO AVE,NORTH HAVEN,CT,10296
15940998,KNIGHTS MANUFACTURING CO,701 COLUMBIA BLVD,TITUSVILLE,FL,12
15840168,FATS INC,7340 MCGINNIS FERRY RD,SUWANEE,GA,1
60400253,"H&R 1871, LLC",60 INDUSTRIAL ROWE,GARDNER,MA,3198
60433152,"SAVAGE ARMS, INC",100 SPRINGDALE RD,WESTFIELD,MA,82
85207699,BERETTA U S A CORPORATION,17601 BERETTA DR,ACCOKEEK,MD,14
60201484,"STURM, RUGER & COMPANY, INC",411 SUNAPEE ST,NEWPORT,NH,129
61600727,REMINGTON ARMS CO INC,14 HOEFLER AVE,ILION,NY,17399
57434208,"MAVERICK ARMS, INC",INDUSTRIAL BLVD MAVERICK CO DEVLPT PARK,EAGLE PASS,TX,12497
98734761,"SHADOW VALLEY ARMS CO, LLC",2710 SOUTH 1900 WEST,OGDEN,UT,70
