RDS KEY,LICENSE NAME,STREET,CITY,ST,SHOTGUN EXP
57634159,BRILEY MANUFACTURING INC,1230 LUMPKIN,HOUSTON,TX,1
97738092,ROGUE RIV RIFLEWORKS INC/JOHN RIBGY & CO,500 LINNE RD STE D,PASO ROBLES,CA,2
82333855,TAR HUNT CUSTOM RIFLES INC,101 DOGTOWN RD,BLOOMSBURG,PA,6
57134716,WILSONS GUN SHOP INC,2234 CR 719,BERRYVILLE,AR,16
60433152,"SAVAGE ARMS, INC",100 SPRINGDALE RD,WESTFIELD,MA,62
60201484,"STURM, RUGER & CO INC",411 SUNAPEE ST,NEWPORT,NH,105
60600252,"MARLIN FIREARMS COMPANY, THE",100 KENNA DR,NORTH HAVEN,CT,137
85207699,BERETTA U S A CORPORATION,17601 BERETTA DR,ACCOKEEK,MD,304
60636056,US REPEATING ARMS COMPANY,344 WINCHESTER AVE,NEW HAVEN,CT,641
60400253,"H & R 1871, LLC",60 INDUSTRIAL ROWE,GARDNER,MA,1856
60600773,O F MOSSBERG & SONS INC,7 GRASSO AVE,NORTH HAVEN,CT,6221
57434208,"MAVERICK ARMS, INC",INDUSTRIAL BLVD MAVERICK CO DEVLPT PARK,EAGLE PASS,TX,7902
61635527,"REMINGTON ARMS CO, INC",14 HOEFLER AVE,ILION,NY,13772
