RDS KEY,LICENSE NAME,STREET,CITY,ST,RIFLE MFG
60600760,THE MARLIN FIREARMS CO,100 KENNA DR,NORTH HAVEN,CT,258383
60201484,STURM RUGER & CO INC,411 SUNAPEE ST,NEWPORT,NH,242166
61635527,"REMINGTON ARMS CO, INC",14 HOEFLER AVE,ILION,NY,208491
60636056,US REPEATING ARMS COMPANY,344 WINCHESTER AVE,NEW HAVEN,CT,112010
46137026,"REMINGTON ARMS COMPANY, INC",22 RIFE TRAIL,HICKORY,KY,80979
60433152,"SAVAGE ARMS, INC",100 SPRINGDALE RD,WESTFIELD,MA,70005
61134915,ARGUS PUBLICATIONS INC,110 8TH ST,BROOKLYN,NY,63037
60400253,"H & R 1871, LLC",60 INDUSTRIAL ROWE,GARDNER,MA,51783
60134465,BUSHMASTER FIREARMS BFI/QUALITY PARTS CO,999 ROOSEVELT TRAIL BLDG 3,WINDHAM,ME,31346
60233754,THOMPSON CENTER ARMS CO INC,FARMINGTON RD,ROCHESTER,NH,28918
60333217,CENTURY ARMS INC,236 BRYCE BLVD,GEORGIA,VT,21893
43435702,BEEMILLER INC,1015 SPRINGMILL RD,MANSFIELD,OH,13450
82339132,KEYSTONE SPORTING ARMS INC,RD 2 BOX 20,MILTON,PA,13218
60633345,COLT'S MANUFACTURING CO LLC,545 NEWPARK AVE,WEST HARTFORD,CT,11471
33636039,ARMALITE INC,745 S HANFORD ST,GENESEO,IL,8246
33635798,SPRINGFIELD INC,420 W MAIN ST,GENESEO,IL,8124
34136671,"ACROMETAL COMPANIES, INC",210 NE 10TH AVE,BRAINERD,MN,6665
99114520,OLYMPIC ARMS INC,624 OLD PACIFIC HWY SE,OLYMPIA,WA,5592
34135232,DEFENSE PROCUREMENT MFG SERVICES INC,13983 INDUSTRY AVE,BECKER,MN,4921
98787363,ARMS TECHNOLOGY INC,2779 DIRECTORS ROW,SALT LAKE CITY,UT,4032
98790082,ARMS TECHNOLOGY INC,1115 PIONEER RD,SALT LAKE CITY,UT,4021
98200154,"ROGUE RIFLE COMPANY, INC",1140 36TH ST N SUITE B,LEWISTON,ID,2968
61334276,KIMBER MFG INC,1 LAWTON ST,YONKERS,NY,2749
60635944,AR-7 INDUSTRIES LLC,998 N COLONY RD,MERIDEN,CT,2439
60435456,"SAEILO, INC",130 GODDARD MEMORIAL DR,WORCESTER,MA,1957
16236907,BARRETT FIREARMS MFG INC,5926 MILLER LANE,MURFREESBORO,TN,1769
98614472,STURM RUGER & CO INC,200 RUGER RD,PRESCOTT,AZ,1434
98135432,COOPER FIREARMS OF MONTANA INC,4004 GWY 93 N,STEVENSVILLE,MT,1393
98638190,SPECIAL WEAPONS LLC,"4613 E IVY ST, SUITE 102",MESA,AZ,1378
33637390,DS ARMS INC,27W990 INDUSTRIAL AVE,LAKE BARRINGTON,IL,1378
43537660,"GORDON, GERALD PAUL JR",617 W PORTER ST,CROWN POINT,IN,1337
33637004,ROCK RIVER ARMS INC,101 NOBLE ST,CLEVELAND,IL,1245
34136294,HESSE LTD,9487 INVER GROVE TRAIL,INVER GROVE HEIGHTS,MN,1018
98133799,POWDER RIVER RIFLE CO INC,201 CENTENNIAL DR,BIG TIMBER,MT,895
16200523,LEINAD INC,221 HWY 68 N,DUCKTOWN,TN,827
15940998,KNIGHTS MANUFACTURING CO,7750 9TH ST SW,VERO BEACH,FL,682
34606531,DAKOTA ARMS INC,1310 INDUSTRY RD,STURGIS,SD,577
15940806,KEL TEC CNC INDUSTRIES INC,1475 COX ROAD,COCOA,FL,571
54235453,DOUBLE DEUCE INC,24276 240TH ST,CARROLL,IA,512
34633475,H S PRECISION INC,1301 TURBINE DR,RAPID CITY,SD,505
43437065,KELBLY'S RIFLE RANGE INC,7222 DALTON FOX LAKE RD,NORTH LAWRENCE,OH,448
99537023,ENTREPRISE ARMS INC,15861 BUSINESS CENTER DR,IRWINDALE,CA,425
98635726,"MCMILLAN BROS RIFLE CO, INC",1638 W KNUDSON SUITE B,PHOENIX,AZ,392
98155388,C SHARPS ARMS CO INC,100 CENTENNIAL DR,BIG TIMBER,MT,389
85207699,BERETTA U S A CORPORATION,17601 BERETTA DR,ACCOKEEK,MD,385
98800094,ARSENAL INC,6959 SPEEDWAY BLVD W-109,LAS VEGAS,NV,369
60600773,O F MOSSBERG & SONS INC,7 GRASSO AVE,NORTH HAVEN,CT,363
60635936,CHARCO 2000,273 CANAL ST,HUNTINGTON,CT,340
98638387,PROFESSIONAL ORDNANCE INC,1070 METRIC DR,LAKE HAVASU CITY,AZ,338
