RDS KEY,LICENSE NAME,STREET,CITY,ST,SHOTGUN EXP
57134716,WILSONS GUN SHOP INC,2234 CR 719,BERRYVILLE,AR,17
98602318,TASER INTERNATIONAL INC,17800 N 85TH ST,SCOTTSDALE,AZ,23
15940806,KEL TEC CNC INDUSTRIES INC,1475 COX ROAD,COCOA,FL,242
15947645,BRAZTECH INTERNATIONAL LC,16175 NW 49TH AVE,MIAMI,FL,548
98201849,ADAPTIVE TACTICAL LLC,1910 MADISON AVE,NAMPA,ID,59
60433152,"SAVAGE ARMS, INC",100 SPRINGDALE RD,WESTFIELD,MA,331
60401684,SMITH & WESSON CORP,2100 ROOSEVELT AVE,SPRINGFIELD,MA,5
58501541,US EQUIPMENT LLC,11 LA JOYA RD,GLORIETA,NM,3
61602475,REMINGTON ARMS COMPANY LLC,14 HOEFLER AVE,ILION,NY,46
43401651,OHIO ORDNANCE WORKS INC,305 AND 310 PARK DR,CHARDON,OH,4
99302709,R & R RACING INC,42670 RODGERS MOUNTAIN LOOP,SCIO,OR,2
57434208,"MAVERICK ARMS, INC",INDUSTRIAL BLVD MAVERICK CO DEVLPT PARK,EAGLE PASS,TX,41573
98701005,BROWNING ARMS COMPANY,ONE BROWNING PLACE,MORGAN,UT,4
99103243,MODERN ARMS COMPANY LLC,9901 337TH STREET SOUTH,ROY,WA,1
