RDS KEY,LICENSE NAME,STREET,CITY,ST,MISC FA EXP
98602171,MILKOR USA INC,3735 N ROMERO RD SUITE 2M,TUCSON,AZ,24
96825819,"SEBERGER, O P",7490 CHIP-N-DALE,SHINGLETOWN,CA,130
15840056,PALMER CAP CHUR EQUIP INC,421 TIDWELL RD,POWDER SPRINGS,GA,76
98234592,GEMINI TECHNOLOGIES INC,335 N EDGEWOOD RD STE 110,EAGLE,ID,1
54301691,ARNOLD DEFENSE AND ELECTRONICS LLC,3000 ARNOLD TENBROOK RD,ARNOLD,MO,122
98100944,PHOENIX MACHINE TECHNOLOGIES LLC,"36 JELLISON LANE, STE B",COLUMBIA FALLS,MT,2
98101151,MONTANA RIFLE COMPANY,3174 MT HWY 35,KALISPELL,MT,88
99337182,TNW FIREARMS INC,55325 TIMBER RD,VERNONIA,OR,6
34600598,"DAKOTA ARMS, LLC",1310 INDUSTRY RD,STURGIS,SD,35
98700368,VECTOR ARMS INC,270 W 500 NO,NORTH SALT LAKE,UT,38
15405180,US TACTICAL INC,2735 VALESTRA CIR,OAKTON,VA,1
