RDS KEY,LICENSE NAME,STREET,CITY,ST,MISC FA EXP
60600773,O F MOSSBERG & SONS INC,7 GRASSO AVE,NORTH HAVEN,CT,708
15952429,R/M EQUIPMENT INC,6975-79 NW 43RD ST,MIAMI,FL,637
15946669,"SMITH, TIMOTHY E",3761 RECKER HWY,WINTER HAVEN,FL,2
15840056,PALMER CAP CHUR EQUIP INC,421 TIDWELL RD,POWDER SPRINGS,GA,30
60400253,"H&R 1871, LLC",60 INDUSTRIAL ROWE,GARDNER,MA,226
43800772,"ELROD, WINSTON E",12519 W NIBLOK RD,CHESANING,MI,2
43134110,AMERICAN APEX CORPORATION,8515 RAUSCH DRIVE,PLAIN CITY,OH,175
82501868,NI INDUSTRIES INC,1120 MILLER PICKING RD CONEMAUGH TOWNSHIP,DAVIDSVILLE,PA,28000
82313090,NAVAL CO INC,4747 COLD SPRING CREAMERY RD,DOYLESTOWN,PA,53
82500891,NONLETHAL TECHNOLOGIES INC,9419 RT 286 WEST,HOMER CITY,PA,1
82338992,"BORDEN, JAMES F",RR 1 BOX 250BC,SPRINGVILLE,PA,29
57401497,AUSTIN PRECISION PRODUCTS INC,850 CR 177,LEANDER,TX,5
57434208,"MAVERICK ARMS, INC",INDUSTRIAL BLVD MAVERICK CO DEVLPT PARK,EAGLE PASS,TX,4136
57541806,STILLERS PRECISION FIREARMS LLC,2405 COUNTRY MEADOW LN,WYLIE,TX,18
