Table
CITY ,ST ,SHOTGUN EXP
BERRYVILLE ,AR ,4
PHOENIX ,AZ ,1
PASO ROBLES ,CA ,2
NEW HAVEN ,CT ,599
NORTH HAVEN ,CT ,20
NORTH HAVEN ,CT ,5035
GENESEO ,IL ,282
WESTFIELD ,MA ,2236
GARDNER ,MA ,1470
ACCOKEEK ,MD ,11
NEWPORT ,NH ,68
ILION ,NY ,12767
BLOOMSBURG ,PA ,50
RAPID CITY ,SD ,2
EAGLE PASS ,TX ,9350
,,


Table
RDS KEY ,LICENSE NAME ,STREET
57134716 ,WILSONS GUN SHOP INC ,2234 CR 719
98636542 ,,21438 N 7TH AVE SUITE B
97738092 ,ROGUE RIV RIFLEWORKS INC/JOHN RIBGY & CO ,500 LINNE RD STE D
60636056 ,US REPEATING ARMS COMPANY ,344 WINCHESTER AVE
60600252 ,,100 KENNA DR
60600773 ,0 MOSSBERG & SONS INC ,7 GRASSO AVE
33635798 ,SPRINGFIELD INC ,420 W MAIN ST
60433152 ,,100 SPRINGDALE RD
60400253 ,,60 INDUSTRIAL ROWE
85207699 ,BERETTA U S A CORPORATION ,17601 BERETTA DR
60201484 ,STURM RUGER & CO INC ,411 SUNAPEE ST
61635527 ,,14 HOEFLER AVE
82333855 ,TAR HUNT CUSTOM RIFLES INC ,101 DOGTOWN RD
34633475 ,H S PRECISION INC ,1301 TURBINE DR
57434208 ,,INDUSTRIAL BLVD MAVERICK CO DEVLPT


