Table
PISTOLS ,"29,537 "
REVOLVERS ,"15,788 "
RIFLES ,"65,807 "
SHOTGUNS ,"89,699 "
MACHINE GUNS ,"12,529 "
,
ANY OTHER WEAPON ,23 
,
MISC. FIREARMS ,"2,513 "


Table
PISTOLS ,
TO .22 ,"184,836 "
TO .25 ,"50,936 "
TO .32 ,"62,338 "
TO .380 ,"98,266 "
TO 9MM ,"284,374 "
TO .50 ,"279,615 "
TOTAL ,"960,365 "
RIFLES ,"1,345,899 "
SHOTGUNS ,"1,036,520 "
MACHINE GUNS ,"32,866 "
ANY OTHER WEAPON ,645 
MISC. FIREARMS ,"24,506 "


