Table
PISTOLS ,,,,REVOLVERS ,
TO .22 ,,"211,473 ",,TO .22 ,"88,570 "
TO .25 ,,"10,140 ",,TO .32 ,"3,446 "
TO .32 ,,"32,435 ",,TO .357 MAG ,"62,640 "
TO .380 ,,"68,291 ",,TO .38 SPEC ,"54,842 "
TO 9MM ,,"182,493 ",,TO .44 MAG ,"35,097 "
TO .50 ,,"223,679 ",,TO .50 ,"49,504 "
TOTAL ,,"728,511 ",,TOTAL ,"294,099 "


Table
PISTOLS ,"14,959 "
,
REVOLVERS ,"24,122 "
RIFLES ,"62,403 "
SHOTGUNS ,"31,025 "
,
MISC. FIREARMS ,"7,411 "


