Table
RDS KEY ,LICENSE NAME ,STREET ,CITY ,ST ,RVLR 22 ,RVLR 32 ,RVLR 357 ,RVLR 38 ,RVLR 44 ,RVLR 50 ,RVLR TOTL 
98614472 ,"STURM, RUGER & CO INC ",200 RUGER RD ,PRESCOTT ,AZ ,2351 ,O ,O ,O ,O ,0 ,2351 
98643797 ,WESTERN ORDNANCE INTERNATIONAL CORP ,1701 W 10TH ST #14 ,TEMPE ,AZ ,O ,O ,2 ,O ,O ,O ,2 
60635936 ,CHARCO 2000 ,273 CANAL ST ,HUNTINGTON ,CT ,263 ,O ,254 ,2279 ,453 ,0 ,3249 
60633345 ,COLT'S MANUFACTURING CO LLC ,545 NEWPARK AVE ,WEST HARTFORD ,CT ,O ,2 ,356 ,327 ,329 ,2566 ,3580 
15901002 ,GUN SMOKE ENTERPRISES INC ,506 NE 3RD ST ,OKEECHOBEE ,FL ,7 ,O ,O ,O ,O ,0 ,7 
15941170 ,HERITAGE MFG INC ,4600 NW 135TH ST ,OPA LOCKA ,FL ,25965 ,115 ,O ,O ,O ,0 ,26080 
15840168 ,FATS INC ,7340 MCGINNIS FERRY RD ,SUWANEE ,GA ,O ,O ,6 ,O ,O ,0 ,6 
60410395 ,SMITH & WESSON CORP ,2100 ROOSEVELT AVE ,SPRINGFIELD ,MA ,6324 ,1768 ,37609 ,51840 ,18467 ,30081 ,146089 
34100093 ,CONTRACT MANUFACTURING INC ,12602 33RD AVENUE SW ,PILLAGER ,MN ,O ,190 ,O ,O ,O ,1524 ,1714 
60201484 ,"STURM, RUGER & CO INC ",411 SUNAPEE ST ,NEWPORT ,NH ,31537 ,1309 ,24311 ,396 ,15617 ,14789 ,87959 
61636016 ,DAN WESSON CORP ,5169 ROUTE 12 SOUTH ,NORWICH ,NY ,2 ,O ,22 ,O ,27 ,0 ,51 
16238596 ,MUNITIONS INTERNATIONAL LAB INC ,1345 B ENTERPRISE RD ,PINEY FLATS ,TN ,O ,O ,O ,O ,O ,190 ,190 
98734026 ,NORTH AMERICAN ARMS INC ,2150 S 950 E ,PROVO ,UT ,21985 ,O ,O ,O ,O ,0 ,21985 
58300047 ,CASULL ARMS CORP ,87681 US HIGHWAY 89 ,AFTON ,WY ,11 ,O ,O ,O ,O ,0 ,11 
58303091 ,FREEDOM ARMS INC ,314 HWY 239 ,FREEDOM ,WY ,125 ,62 ,80 ,O ,204 ,354 ,825 
,,,,,88570 ,3446 ,62640 ,54842 ,35097 ,49504 ,294099 


