RDS KEY,LICENSE NAME,STREET,CITY,ST,MISC FA EXP
16337359 ELLIS, JEFFERY OWEN 17943 GROUND HOG RD ADGER AL 14
98603717 US ARMORY CORPS LLC 2002 E 14TH ST TUCSON AZ 3
15909552 GOOD TIME OUTDOORS INC 4600 W HIGHWAY 326 OCALA FL 10
15912014 SPARKMAN, JOHN B, III 26001 S DIXIE HWY NARANJA FL
60401684 SMITH 8 WESSON CORP 2100 ROOSEVELT AVE SPRINGFIELD MA 329
54310039 BIXLER, CHRISTOPHER A 213 MORGAN ST AUXVASSE MO 18
98101151 MONTANA RIFLE COMPANY 3178 MT HWY 35 KALISPELL MT 9
60200735 STURM, RUGER 8 COMPANY, INC 529 SUNAPEE ST NEWPORT NH 1
43437065 KELBLY'S RIFLE RANGE INC 7222 DALTON FOX LAKE RD NORTH LAWRENCE OH 136
82338992 BORDEN, JAMES F 1325 SHELDON HILL ROAD SPRINGVILLE PA 69
57541806 STILLERS PRECISION FIREARMS LLC 118 REGENCY DR WYLIE TX 186
98701641 JEPPSON, BRIAN COLE 5408 W 10180 N HIGHLAND UT 1
98734710 TDJ INC :50 NORTH CEMETERY ROAD, BUILDING GUNNISON UT 8
