57336427 ,,10805 SE 84TH
57337041 ,,HC 63 BOX 196
57337084 ,TROMIX CORPORATION ,405 N WALNUT #8
57336699 ,,3840 SW 113TH
99337203 ,LOOCK MANUFACTURING CO INC ,21210 SW JOHNSON ST
99309311 ,POLICE AUTOMATIC WEAPONS SERVICE INC ,8175 RIVER RD NE
99336982 ,ROGUE RIFLE COMPANY INC ,11 FIRST ST
99337182 ,TNW FIRERMS INC ,55325 TIMBER RD BLDG A
99337705 ,WILLIAMS ARMS COMPANY ,739 CURTIS COURT
82337152 ,,261 E MAIN ST
82338992 ,,RR 1 BOX 250BC
82339102 ,,415 GREENWAY
82300130 ,,RD 2 BOX 577 F
82339132 ,KEYSTONE SPORTING ARMS INC ,RD 2 BOX 20
82339664 ,,RD 2 BOX 500EE
82339431 ,,HCR 64 BOX 33C
82311979 ,ROBERT HART & SON INC ,401 MONTGOMERY ST
82340096 ,,450 SMITH LN
15735423 ,ARMITAGE INTL LTD ,1635A BLUE RIDGE BLVD
15736337 ,GEIGES INSTRUMENTS INC ,4143 SEBAGO RD
15735931 ,JARRETT RIFLES INC ,383 BROWN RD
15736449 ,,HWY 14
34606531 ,DAKOTA ARMS INC ,HC 55 BOX 326
34633475 ,H S PRECISION INC ,1301 TURBINE DR
34633933 ,,422 N MAIN
34606554 ,MILLER ARMS INC ,PURL ST BOX 260
34634111 ,,ECHO MOUNTAIN RD
16236907 ,BARRETT FIREARMS MEG INC ,5926 MILLER LANE
16200121 ,,104 SARTAIN RD
16238654 ,LEINAD INC ,221 HWY 68 N
16235354 ,,1200 SLAYDEN RD
57454185 ,,18456 ST HWY 6 S
,,


Table
CITY ,ST ,RIFLE MFG
OKLAHOMA CITY ,0K ,42
RED OAK ,0K ,1
BROKEN ARROW ,0K ,8
OKLAHOMA CITY ,0K ,4
ALOHA ,0R ,6
SALEM ,0R ,25
PROSPECT ,0R ,5441
VERNONIA ,0R ,203
SISTERS ,0R ,3
ADAMSTOWN ,PA ,9
SPRINGVILLE ,PA ,77
RED LION ,PA ,8
NORTHUMBERLAND ,PA ,1
MILTON ,PA ,11846
KUNKLETOWN ,PA ,1
HUNTINGTON MILLS ,PA ,
NESCOPECK ,PA ,13
PALMYRA ,PA ,2
SENECA ,SC ,301
YONGES ISLAND ,SC ,11
JACKSON ,SC ,2
LAURENS ,SC ,2
STURGIS ,SD ,383
RAPID CITY ,SD ,275
ISABEL ,SD ,1
ST ONGE ,SD ,15
DEADWOOD ,SD ,1
MURFREESBORO ,TN ,586
MANCHESTER ,TN ,1
DUCKTOWN ,TN ,1380
MOSCOW ,TN ,2
COLLEGE STATION ,TX ,4
HOUSTON ,TX ,2


