RDS KEY ,PISTOL 22 ,PISTOL 25 ,PISTOL 32 ,PISTOL 380 ,PISTOL 9MM ,PISTOL 50 ,PISTOL TOTAL 
16238654,0,0,0,1,2000,5490,7491
57421953,26,0,14,499,70,837,1446
57541153,0,0,12,0,19,1752,1783
57438071,0,0,0,0,0,74,74
57439029,0,0,0,2,2,2,6
57600160,89,0,0,0,0,0,89
57434417,0,0,0,0,0,2403,2403
57540601,0,0,0,0,219,842,1061
57600154,0,0,0,0,0,91,91
98787363,18996,0,0,0,0,0,18996
98734026,0,0,5606,0,0,0,5606
60300037,0,0,0,0,0,1416,1416
60300038,0,0,0,0,0,15,15
60306096,0,0,0,0,0,1451,1451
99100026,0,0,0,0,0,40,40
99114520,0,0,0,0,0,339,339
99139150,0,0,1,0,0,0,1
33937530,0,0,0,0,1000,0,1000
33936970,0,0,2,0,0,0,2
58300047,0,0,0,4,0,0,4
