Table
RDS KEY ,LICENSE NAME ,STREET ,CITY ,ST ,PISTOLS 
57101188 ,NIGHTHAWK CUSTOM LLC ,1306 W TRIMBLE ,BERRYVILLE ,AR ,34 
98614472 ,"STURM, RUGER & COMPANY, INC ",200 RUGER RD ,PRESCOTT ,AZ ,11703 
60601905 ,WILDEY F A INC ,45 ANGEVINE RD ,WARREN ,CT ,4 
60633345 ,COLT'S MANUFACTURING CO LLC ,545 NEWPARK AVE ,WEST HARTFORD ,CT ,3685 
15940806 ,KEL TEC CNC INDUSTRIES INC ,1475 - 1495 COX ROAD ,COCOA ,FL ,12 
15909576 ,IVER JOHNSON ARMS INC ,259 GUS HIPP BLVD ,ROCKLEDGE ,FL ,321 
15923596 ,TAURUS INTERNATIONAL MANUFACTURING INC ,16175 NW 49TH AVE ,MIAMI ,FL ,2449 
15890327 ,GLOCK INC ,6000 HIGHLANDS PKWY ,SMYRNA ,GA ,3404 
15840168 ,MEGGITT TRAINING SYSTEMS INC ,296 BROGDON RD ,SUWANEE ,GA ,26 
54201889 ,V CUSTOM INC ,24276 240TH ST ,CARROLL ,IA ,1 
54201706 ,LES BAER CUSTOM INC ,1804 IOWA DR ,LE CLAIRE ,IA ,1261 
33635798 ,SPRINGFIELD INC ,420 W MAIN ST ,GENESEO ,IL ,354 
33637004 ,ROCK RIVER ARMS INC ,1042 CLEVELAND RD ,COLONA ,IL ,28 
60401684 ,SMITH & WESSON CORP ,2100 ROOSEVELT AVE ,SPRINGFIELD ,MA ,19602 
60435456 ,"SAEILO, INC ",130 GODDARD MEMORIAL DR ,WORCESTER ,MA ,242 
85207699 ,BERETTA U S A CORPORATION ,17601 BERETTA DR ,ACCOKEEK ,MD ,12859 
60100956 ,BUSHMASTER FIREARMS INTERNATIONAL LLC ,999 ROOSEVELT TRL ,WINDHAM ,ME ,1 
54339122 ,"ED BROWN PRODUCTS, INC ",43825 MULDROW TRAIL ,PERRY ,MO ,55 
15604309 ,PARA USA INC ,10620 SOUTHERN LOOP BLVD ,PINEVILLE ,NC ,1360 
60200897 ,THOMPSON CENTER ARMS CO INC ,400 NORTH MAIN STREET ,ROCHESTER ,NH ,36 
60201128 ,SIG SAUER INC ,12 & 18 INDUSTRIAL DR ,EXETER ,NH ,9921 
60200735 ,"STURM, RUGER & COMPANY, INC ",529 SUNAPEE ST ,NEWPORT ,NH ,344 
98800913 ,LEGACY SPORTS INTERNATIONAL LLC ,4750 LONGLEY LN STE 207-210 ,RENO ,NV ,95 
61334276 ,KIMBER MFG INC ,1 LAWTON ST ,YONKERS ,NY ,5517 
61601132 ,"AMCHAR WHOLESALE, INC ",100 AIRPARK DR ,ROCHESTER ,NY ,16 
15702640 ,FN MANUFACTURING LLC ,751 OLD CLEMSON RD ,COLUMBIA ,SC ,5376 
57540601 ,STRAYER VOIGT INC ,3435 ROY ORR BLVD #200 ,GRAND PRARIE ,TX ,105 
98734026 ,NORTH AMERICAN ARMS INC ,2150 S 950 E ,PROVO ,UT ,140 
98700995 ,"COBRA ENTERPRISES OF UTAH, INC ","1960 S MILESTONE DR, SUITE F ",SALT LAKE CITY ,UT ,90 
99103260 ,HURRICANE BUTTERFLY RESEARCH CORPORATION ,1148 INDUSTRY DRIVE ,TUKWILA ,WA ,1000 


